,doc_sentiments,documents,zone_sentiments
0,-0.16627634660421542,"['Bernie Sanders Scares a Lot of People', ' and Quite a Few of Them Are Democrats', 'In 34 national surveys conducted from October 2018 to early April', ' Joe Biden', ' who is expected to announce his presidential bid on Thursday', ' led all competitors.']","[0, 0, 0, 0, 0.26229508196721313, -0.42857142857142855]"
1,1.437956204379562,"['Sanders quiets his critics as he becomes a 2020 front-runner', 'DAVENPORT', ' Iowa (AP) — Vermont Sen. Bernie Sanders is quieting critics who questioned whether he could recapture the energy of his upstart 2016 ...']","[1.0, 0, 0.43795620437956206]"
2,-0.2113671274961597,"['For Bernie Sanders', ' 2016 gets in the way of 2020', 'Early last year', ' Bernie Sanders huddled with his closest advisers to talk about the future. If he ran for president again', ' one told him', "" he'd probably perform well ...""]","[0, 0, 0, 0.3047619047619048, 0, -0.5161290322580645]"
3,0.9859154929577465,"['Bernie Sanders and his wife earned $1.7 million in past two years', ' returns show', 'Sen. Bernie Sanders', ' who has made income inequality a hallmark of his presidential campaign', ' earned with his wife about $566', '000 last year and $1.15 million ...']","[0, 0, 0, 0.9859154929577465, 0, 0]"
4,0.420026350461133,"[""Bernie Sanders' truly awful answer on his newfound millionaire status"", 'Bernie Sanders is (finally) going to release his tax returns. But questions over how he handles his wealth in the context of his campaign for the 2020 Democratic ...']","[0.49275362318840576, -0.07272727272727272]"
5,2.530359425520716,"['Bernie Sanders pushes back at critics of his new wealth', "" 'I didn't know it was a crime to write a good book'"", 'Gary', ' Indiana (CNN) Sen. Bernie Sanders on Saturday rejected suggestions that his growing nest egg', ' mostly amassed from book sales following his 2016 ...']","[1.5454545454545454, 0.17307692307692307, 0, 0.978494623655914, -0.16666666666666666]"
6,1.436074270557029,"['Is Bernie Sanders serious?', ""It's the first big misstep of the 2020 Democratic primary season. A candidate with an obvious liability hands opponents a powerful"", ' easy-to-grasp issue that ...']","[0, 0.8153846153846154, 0.6206896551724137]"
7,-0.3318903318903319,"['Bernie Sanders will be tested in 2020 as he never was in 2016', 'Democratic hopeful Pete Buttigieg signaled the start of a new political era for Sen. Bernie Sanders', "" one of the front-runners for the party's 2020 presidential ...""]","[0, -0.5858585858585859, 0.25396825396825395]"
8,0.13793103448275862,"['Bernie Sanders Raised $18 Million in 6 Weeks', ' His 2020 Campaign Says', 'WASHINGTON — Senator Bernie Sanders of Vermont raised $18.2 million over the first six weeks of his presidential bid', ' his campaign announced Tuesday', ' ...']","[0, 0, 0.13793103448275862, 0, 0]"
9,0.000559049615653423,"['Bernie Sanders campaign stop draws hundreds in Warren', ""U.S. Senator and Democratic presidential hopeful Bernie Sanders says he won't make the same mistake as the Clinton campaign did in 2016"", ' and assume the.']","[-0.16981132075471697, 0.1703703703703704, 0]"
10,-0.033333333333333354,"['The machine behind Bernie Sanders’ movement', ""A television camera films Vermont U.S. Sen. Bernie Sanders' presidential campaign rally in Keene"", "" N.H. Photo by Kevin O'Connor/VTDigger. KEENE"", ' N.H. ...']","[0, 0.16666666666666666, -0.2, 0]"
11,-0.07015158420688372,"[""Bernie Sanders still hasn't released his tax returns"", ' despite pledge', 'Sen. Bernie Sanders', ' a leading 2020 Democratic presidential candidate', ' has yet to release his tax returns despite a pledge to do so.']","[-0.7115384615384617, 1.0666666666666669, 0, -0.489795918367347, 0.06451612903225806]"
12,0.23529411764705882,"['Bernie Sanders Imagines a Progressive New Approach to Foreign Policy', 'In the early summer of 2017', ' a little less than a year after his Presidential campaign had ended', ' Bernie Sanders spent a few days on a speaking tour in England', ' ...']","[0, 0, 0.23529411764705882, 0, 0]"
